,eid,gid,name
389,272,1,"Чемпіонат України з гри Стратего, Ukrainian Championships (Side Tournament)"
390,273,0,7. Berliner Stadtmeisterschaft
391,274,0,"Ⅰ. Чемпіонату України серед жінок, Ukrainian Championships For Women"
392,274,1,Open Rivne Provincial Championship
393,275,0,Provinciaal Kampioenschap Utrecht
394,276,0,Stratego auf dem Bauernhof
395,277,0,Provinciaal Kampioenschap Zuid-Holland
396,278,0,
397,279,0,Fahnenkiller Sommerturnier
398,280,0,World Championships
399,281,0,"World Championships, Antwerp Open"
400,282,0,Provinciaal Kampioenschap Gelderland
401,283,0,2. Frankfurt Open
402,284,0,Nederlandse Kampioenschappen
403,285,0,
404,286,0,Deutsche Meisterschaften
405,287,0,Fahnenkiller Winterturnier 2007/2008
406,288,0,"Åpent Norsk Mesterskapet i Stratego, 1st Norwegian Open Championships"
407,289,0,
408,290,0,"Provinciaal Kampioenschap Noord-Brabant, Eredivisie"
409,290,1,Provinciaal Kampioenschap Noord-Brabant
410,290,2,"Provinciaal Kampioenschap Noord-Brabant, Jeugd"
411,291,0,"Чемпіонат України з гри Стратего, Ukrainian Championships for the game Stratego"
412,291,1,"Ⅱ. Чемпіонату України серед жінок, Ukrainian Championships For Women"
413,291,2,
414,292,0,10. Bergische Meisterschaften
415,293,0,Ⅳ. Kostopil Championship
416,294,0,"Provinciaal Kampioenschap Gelderland, Eredivisie"
417,294,1,Provinciaal Kampioenschap Gelderland
418,295,0,British Open
419,296,0,8. Berliner Stadtmeisterschaft
420,297,0,"Provinciaal Kampioenschap Limburg, Eerste Divisie"
421,297,1,"Provinciaal Kampioenschap Limburg, Jeugd"
422,298,0,Jumbo Open i Stratego
423,299,0,Stratego auf dem Bauernhof
424,299,1,Stratego auf dem Bauernhof
425,300,0,Provinciaal Kampioenschap Zuid-Holland
426,300,1,Provinciaal Kampioenschap Zuid-Holland
427,301,0,
428,302,0,
429,303,0,"World Championships, Women"
430,303,1,"World Championships, Juniors"
431,303,2,"Відкритий чемпіонат Рівного з Стратего, Rivne Open (Stratego Championships)"
432,304,0,World Championships
433,305,0,"World Championships, Team Competition"
434,306,0,Mind Sport Olympiad
435,307,0,Provinciaal Kampioenschap Noord-Holland
436,308,0,3. Frankfurt Open
437,309,0,Antwerp Open
438,310,0,1. Münsterländer Strategoturnier
439,311,0,"Nederlandse Kampioenschappen, Jeugd"
440,311,1,Breda Open
441,312,0,Deutsche Meisterschaften
442,312,1,"Deutsche Meisterschaften, Junioren"
443,313,0,Nederlandse Kampioenschappen
444,314,0,UK Championships
445,314,1,UK Championships
446,315,0,Sambreville
447,316,0,Venray Wintertoernooi
448,317,0,Club Tournament
449,318,0,Beginner’s Tournament
450,319,0,Oosterhout (NB) junioren toernooi ism Stichting Hiks
451,320,0,"Åpent Norsk Mesterskapet i Stratego, 2nd Norwegian Open Championships"
452,321,0,"Provinciaal Kampioenschap Noord-Brabant, Jeugd"
453,321,1,Provinciaal Kampioenschap Noord-Brabant
454,322,0,
455,323,0,11. Bergische Meisterschaften
456,324,0,Ⅴ. Kostopil Championship
457,325,0,Provinciaal Kampioenschap Gelderland
458,325,1,"Provinciaal Kampioenschap Gelderland, Jeugd"
459,326,0,Antwerp Open
460,327,0,9. Berliner Stadtmeisterschaft
461,328,0,Provinciaal Kampioenschap Overijssel
462,329,0,Stratego auf dem Bauernhof
463,329,1,Stratego auf dem Bauernhof
464,330,0,Provinciaal Kampioenschap Zuid-Holland
465,331,0,Open Latvian Stratego Championship
466,332,0,International Tournament in Kostopil
467,333,0,Provinciaal Kampioenschap Limburg
468,334,0,"World Championships, Weltmeisterschaften Senioren"
469,334,1,"World Championships, Juniors"
470,335,0,"World Championships, Open Gladbecker Tournament"
471,336,0,Arendal Stratego Open
472,337,0,British Open
473,338,0,
474,339,0,4. Frankfurt Open
475,340,0,Provinciaal Kampioenschap Noord-Holland
